"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"2479"	"2709"	"i)sxu/s, u/os, h("	"strength, power"	"strength (absolutely), power, might, force, ability."
"2480"	"2710"	"i)sxu/w"	"I am strong, able"	"I have strength, am strong, am in full health and vigor, am able; meton: I prevail."
"2481"	"2711"	"i)/sws"	"perhaps"	"perhaps, equally; it may be that."
"2482"	"2712"	"*)itali/a, as, h("	"Italy"	"Italy."
"2483"	"2713"	"*)italiko/s, h/, o/n"	"Italian"	"Italian."
"2484"	"2714"	"*)itourai=os, a, on"	"Ituraean"	"Ituraean, an adjective applied to a district also called Trachonitis, about 60 miles east of the Sea of Galilee, and partly inhabited by the nomad tribe called Ituraeans."
"2485"	"2715"	"i)xqu/dion, ou, to/"	"a little fish"	"a small fish."
"2486"	"2716"	"i)xqu/s, u/os, o("	"a fish"	"a fish."
"2487"	"2717"	"i)/xnos, ous, to/"	"a track, footstep"	"a track, footstep."
"2488"	"2718"	"*)iwa/qam, o("	"Jotham"	"Jotham, son of Uzziah and father of Ahaz."
"2489"	"2721"	"*)iwa/nna, as, h("	"Joanna"	"(Hebrew), Joanna, Johanna, wife of Chuza, Herod's steward."
"2490"	"2720"	"*)iwana/n, o("	"Joanan"	"Joanan, a proper name."
"2491"	"2722,2728"	"*)iwa/nnhs, ou, o("	"John"	"John: the Baptist, the apostle, a member of the Sanhedrin, or John Mark."
"2492"	"2724"	"*)iw/b, o("	"Job"	"(Hebrew), Job, the hero of the book of that name in the Old Testament."
"2493"	"2727"	"*)iwh/l, o("	"Joel"	"Joel, the Hebrew prophet."
"2494"	"2729,2730"	"*)iwna/n, o("	"Jonam"	"(Hebrew), Jonam, an ancestor of Jesus."
"2495"	"2731"	"*)iwna=s, a=, o("	"Jonah"	"(Hebrew), Jonah, the Hebrew prophet."
"2496"	"2732"	"*)iwra/m, o("	"Joram, Jehoram"	"(Hebrew), Joram, Jehoram, son of Jehoshaphat and father of Uzziah."
"2497"	"2733"	"*)iwrei/m, o("	"Jorim"	"(Hebrew), Jorim, an ancestor of Jesus."
"2498"	"2734"	"*)iwsafa/t, o("	"Jehoshaphat"	"(Hebrew), Jehoshaphat, king of Judah, son of Asaph, father of Joram, an ancestor of Jesus."
"2499"	"2735"	"*)iwsh="	"gen. of Joses"	"(Hebrew), gen. case of Joses (a) son of Eliezer, (b) son of Mary, brother of Jesus, (c) surnamed Barnabas (also called Joseph)."
"2500"	"2736"	"*)iwsh=s, h=tos, o("	"Joses"	"(Hebrew), Joses (a) son of Eliezer, (b) son of Mary, half-brother of Jesus, (c) surnamed Barnabas (also called Joseph)."
"2501"	"2737,2738"	"*)iwsh/f, o("	"Joseph"	"Joseph, a proper name."
"2502"	"2739"	"*)iwsi/as, ou, o("	"Josiah"	"(Hebrew), Josiah, king of Judah."
"2503"	"2740"	"i)w=ta, to/"	"a small letter of the Greek alphabet"	"iota, a small letter of the Greek alphabet, used in the NT (like yod, the Hebrew or rather Aramaic letter which was the smallest of all) to indicate the smallest part."
"2504"	"2743"	"ka)gw/"	"I also, I too"	"I also, I too, but I."
"2505"	"2745"	"kaqa/"	"as"	"just as."
"2506"	"2746"	"kaqai/resis, ews, h("	"taking down, destroying"	"taking down, razing, destroying."
"2507"	"2747"	"kaqaire/w"	"I take down, depose, destroy"	"(a) I take down, pull down, depose, destroy."
"2508"	"2748"	"kaqai/rw"	"I cleanse, purify, prune"	"I cleanse, purify, prune."
"2509"	"2749,2778"	"kaqa/per"	"even as"	"even as, just as."
"2510"	"2750"	"kaqa/ptw"	"I lay hold of, fasten on to"	"I lay hold of, fasten on to, seize, attack."
"2511"	"2751,2760"	"kaqari/zw"	"I make clean"	"I cleanse, make clean, literally, ceremonially, or spiritually, according to context."
"2512"	"2752"	"kaqarismo/s, ou=, o("	"cleansing, purifying, purification"	"cleansing, purifying, purification, literal, ceremonial, or moral; met: expiation."
"2513"	"2754"	"kaqaro/s, a/, o/n"	"clean, pure, unstained"	"clean, pure, unstained, either literally or ceremonially or spiritually; guiltless, innocent, upright."
"2514"	"2755"	"kaqaro/ths, htos, h("	"cleanness, purity"	"cleanness, purity."
"2515"	"2756"	"kaqe/dra, as, h("	"a seat, chair"	"a seat, chair."
"2516"	"2757"	"kaqe/zomai"	"I am sitting, sit, am seated"	"I am sitting, sit down, am seated."
"2517"	"2759"	"kaqech=s"	"in order, just after"	"in order, in succession, in the time immediately after, just after."
"2518"	"2761"	"kaqeu/dw"	"I sleep, am sleeping"	"I sleep, am sleeping."
"2519"	"2762"	"kaqhghth/s, ou, o("	"a leader, teacher, guide"	"a leader, teacher, guide, master."
"2520"	"2763"	"kaqh/kw"	"it is fitting"	"I come down, come to; I am unfit, proper."
"2521"	"2764"	"ka/qhmai"	"I sit, am seated"	"I sit, am seated, enthroned; I dwell, reside."
"2522"	"2766"	"kaqhmerino/s, h/, o/n"	"daily"	"daily, day-by-day."
"2523"	"2767"	"kaqi/zw"	"I set, make to sit"	"(a) trans: I make to sit; I set, appoint, (b) intrans: I sit down, am seated, stay."
"2524"	"2768"	"kaqi/hmi"	"I let down"	"I send, let down, lower."
"2525"	"2769,2770"	"kaqi/sthmi"	"I set, establish, appoint, conduct"	"I set down, bring down to a place; I set in order, appoint, make, constitute."
"2526"	"2771"	"kaqo/"	"as, according as"	"according to which thing, as, according as."
"2527"	"2773"	"kaqo/lou"	"entirely, at all"	"one the whole, in general, altogether."
"2528"	"2774"	"kaqopli/zw"	"I arm completely"	"I arm completely."
"2529"	"2775"	"kaqora/w"	"I see clearly"	"I see clearly, perceive, discern."
"2530"	"2776"	"kaqo/ti"	"according as, because"	"(a) in proportion as, according as, (b) because."
"2531"	"2777"	"kaqw/s"	"just as, as"	"according to the manner in which, in the degree that, just as, as."
"2532"	"2779"	"kai/"	"and, even, also, namely"	"and, even, also, namely."
"2533"	"2780"	"*kai+a/fas, a=, o("	"Caiaphas"	"Caiaphas, Jewish high priest."
"2535"	"2782"	"*ka/i+n, o("	"Cain"	"(Hebrew), Cain, son of Adam and Eve and brother of Abel."
"2536"	"2783,2784"	"*kai+na/n, o("	"Cainan"	"(Hebrew), Cainan, one of the ancestors of Jesus."
"2537"	"2785"	"kaino/s, h/, o/n"	"fresh, new"	"fresh, new, unused, novel."
"2538"	"2786"	"kaino/ths, htos, h("	"freshness, newness"	"freshness, newness, novelty."
"2539"	"2788"	"kai/per"	"although"	"although, though."
"2540"	"2789"	"kairo/s, ou=, o("	"fitting season, opportunity, time"	"fitting season, season, opportunity, occasion, time."
"2541"	"2790"	"*kai=sar, aros, o("	"Caesar"	"Caesar, a surname of the gens Iulia, which became practically synonymous with the Emperor for the time being; in the Gospels it always refers to Tiberias."
"2542"	"2791"	"*kaisa/reia, as, h("	"Caesarea"	"Two cities of Palestine: one in Galilee (Caesarea Philippi), the other on the coast of the Mediterranean."
"2543"	"2792"	"kai/toi"	"and yet, although"	"and yet, although, though."
"2544"	"2793"	"kai/toige"	"and yet, although"	"and yet, although, indeed."
"2545"	"2794"	"kai/w"	"I ignite, light, burn"	"I ignite, light, burn, lit. and met; I consume with fire."
"2546"	"2795"	"ka)kei="	"and there, and yonder"	"and there, and yonder, there also."
"2547"	"2796"	"ka)kei=qen"	"and thence, and from there"	"and thence, and from there; and then afterwards."
"2548"	"2797"	"ka)kei=nos, h, o"	"and he, she, it, and that"	"and he, she, it, and that."
"2549"	"2798"	"kaki/a, as, h("	"evil, wickedness, malice"	"(a) evil (i.e. trouble, labor, misfortune), (b) wickedness, (c) vicious disposition, malice, spite."
"2550"	"2799"	"kakoh/qeia, as, h("	"evil-mindedness"	"evil-mindedness, malignity, malevolence."
"2551"	"2800"	"kakologe/w"	"I speak evil of, curse"	"I speak evil of, curse, revile, abuse."
"2552"	"2801,2817"	"kakopa/qeia, as, h("	"suffering"	"experience of evil, suffering, distress, affliction, perseverance."
"2553"	"2802"	"kakopaqe/w"	"I suffer evil, endure affliction"	"I suffer evil, endure affliction."
"2554"	"2803"	"kakopoie/w"	"I do harm, do wrong"	"I do harm, do wrong, do evil, commit sin."
"2555"	"2804"	"kakopoio/s, o/n"	"an evil-doer"	"doing evil; subst: an evil-doer."
"2556"	"2805"	"kako/s, h/, o/n"	"bad, evil"	"bad, evil, in the widest sense."
"2557"	"2806"	"kakou=rgos, on"	"a criminal"	"(lit: an evil-worker), a criminal."
"2558"	"2807"	"kakouxe/w"	"I treat evilly"	"I treat evilly, hurt, torment."
"2559"	"2808"	"kako/w"	"I treat badly"	"I treat badly, afflict, embitter, make angry."
"2560"	"2809"	"kakw=s"	"badly, evilly"	"badly, evilly, wrongly."
"2561"	"2810"	"ka/kwsis, ews, h("	"affliction, ill-treatment"	"affliction, ill-treatment, oppression, misery."
"2562"	"2811"	"kala/mh, h=s, h("	"stubble"	"stubble, straw, the stalk."
"2563"	"2812"	"ka/lamos, ou, o("	"a reed, reed-pen"	"a reed; a reed-pen, reed-staff, measuring rod."
"2564"	"2813"	"kale/w"	"I call, invite, name"	"(a) I call, summon, invite, (b) I call, name."
"2565"	"2814"	"kallie/laios, ou=, h("	"a cultivated olive tree"	"a cultivated olive tree."
"2566"	"2819"	"ka/llion"	"very well"	"very well."
"2567"	"2815"	"kalodida/skalos, ou, o(, h("	"a teacher of that which is noble"	"a teacher of that which is noble (honorable) and good."
"2569"	"2818"	"kalopoie/w"	"I act uprightly"	"I do well, act honorably, do what is right."
"2570"	"2819"	"kalo/s, h/, o/n"	"beautiful, good, worthy"	"beautiful, as an outward sign of the inward good, noble, honorable character; good, worthy, honorable, noble, and seen to be so."
"2571"	"2820"	"ka/lumma, atos, to/"	"a veil"	"a covering, especially a covering of head and face, a veil."
"2572"	"2821"	"kalu/ptw"	"I veil, hide, conceal, envelop"	"I veil, hide, conceal, envelop."
"2573"	"2822"	"kalw=s"	"well, nobly, rightly"	"well, nobly, honorably, rightly."
"2574"	"2823,2824"	"ka/mhlos, ou, o(, h("	"a camel"	"a camel or dromedary."
"2575"	"2825"	"ka/minos, ou, h("	"a furnace"	"a furnace, oven, kiln."
"2576"	"2826"	"kammu/w"	"I close"	"I close, shut the eyes."
"2577"	"2827"	"ka/mnw"	"I am weary, ill"	"I work, am weary, am sick."
"2578"	"2828"	"ka/mptw"	"I bend, bow"	"I bend, bow."
"2579"	"2829"	"ka)/n"	"and if, even if"	"and if, even if, even, at least."
"2580"	"2830"	"*kana=, h("	"Cana"	"Cana, a town in Galilee."
"2581"	"2831,2832"	"*kanani/ths, ou, o("	"a Canaanite"	"a Canaanite."
"2582"	"2833"	"*kanda/kh, hs, h("	"Candace"	"Candace, a proper name; the Candace, a dynastic name for queens of the Ethiopians in Abyssinia."
"2583"	"2834"	"kanw/n, o/nos, o("	"rule, regulation, province"	"(lit: a level, ruler), a rule, regulation, rule of conduct or doctrine, (b) a measured (defined) area, province."
"2584"	"2835,3019"	"*kapernaou/m, h("	"Capernaum"	"Capernaum, a town of Galilee."
"2585"	"2836"	"kaphleu/w"	"I hawk, trade in"	"I hawk, trade in, deal in for purposes of gain."
"2586"	"2837"	"kapno/s, ou=, o("	"smoke"	"smoke."
"2587"	"2838"	"*kappadoki/a, as, h("	"Cappadocia"	"Cappadocia, a large Roman province in the central eastern part of Asia Minor."
"2588"	"2840"	"kardi/a, as, h("	"the heart, inner life, intention"	"lit: the heart; mind, character, inner self, will, intention, center."
"2589"	"2841"	"kardiognw/sths, ou, o("	"a knower of the inner life"	"a knower of the inner life (character, hearts)."
"2590"	"2843"	"karpo/s, ou=, o("	"fruit, result, gain"	"(a) fruit, generally vegetable, sometimes animal, (b) met: fruit, deed, action, result, (c) profit, gain."
"2591"	"2842"	"*ka/rpos, ou, o("	"Carpus"	"Carpus, a Christian of Troas."
"2592"	"2844"	"karpofore/w"	"I bear fruit"	"I bear fruit."
"2593"	"2845"	"karpofo/ros, on"	"fruitful"	"fruitful."
"2594"	"2846"	"kartere/w"	"I persevere, endure"	"I persevere, endure, am steadfast, patient."
"2595"	"2847"	"ka/rfos, ous, to/"	"a dry stalk, chip of wood"	"a dry stalk, chip of wood, twig, splinter, chaff."
"2596"	"2848"	"kata/"	"down from, against, according to, throughout, during"	"gen: against, down from, throughout, by; acc: over against, among, daily, day-by-day, each day, according to, by way of."
"2597"	"2849"	"katabai/nw"	"I go down, come down"	"I go down, come down, either from the sky or from higher land, descend."
"2598"	"2850"	"kataba/llw"	"I cast, lay down"	"(a) mid: I lay, of a foundation, (b) met: I cast down, prostrate."
"2599"	"2851"	"katabare/w"	"I burden, oppress"	"I burden, oppress, weigh down."
"2600"	"2853"	"kata/basis, ews, h("	"descent"	"descent."
"2601"	"2854"	"katabiba/zw"	"I bring down, cause to go down"	"I bring down, cast down, cause to go down."
"2602"	"2856"	"katabolh/, h=s, h("	"a foundation, depositing, sowing"	"(a) foundation, (b) depositing, sowing, deposit, technically used of the act of conception."
"2603"	"2857"	"katabrabeu/w"	"I decide against, condemn"	"of the umpire in a contest: I decide against, take part against, condemn (perhaps with the idea of assumption, officialism)."
"2604"	"2858"	"kataggeleu/s, e/ws, o("	"a reporter, herald"	"a reporter, announcer, proclaimer, herald."
"2605"	"2859"	"katagge/llw"	"I declare openly, preach"	"I declare openly, proclaim, preach, laud, celebrate."
"2606"	"2860"	"katagela/w"	"I laugh at, ridicule"	"I laugh at, ridicule."
"2607"	"2861"	"kataginw/skw"	"I condemn, blame"	"I condemn, blame."
"2608"	"2862"	"kata/gnumi"	"I break in pieces"	"I break down (in pieces), crush, break into."
"2609"	"2864"	"kata/gw"	"I lead down, bring down"	"I lead down, bring down, either from a high place on land or to a lower (or actually to the sea-coast), or from the high seas to land."
"2610"	"2865"	"katagwni/zomai"	"I subdue"	"I subdue (in warfare); I struggle against, conquer, overcome."
"2611"	"2866"	"katade/w"	"I bind up"	"I bind up, bandage."
"2612"	"2867"	"kata/dhlos, on"	"quite clear"	"quite clear, evident."
"2613"	"1463,2868"	"katadika/zw"	"I condemn"	"I condemn, pass sentence upon."
"2614"	"2870"	"katadiw/kw"	"I hunt down, follow closely"	"I hunt down, follow closely."
"2615"	"2871"	"katadoulo/w"	"I enslave"	"I enslave."
"2616"	"2872"	"katadunasteu/w"	"I overpower, quell, treat harshly"	"I overpower, quell, treat harshly."
"2617"	"2875"	"kataisxu/nw"	"I shame, disgrace, put to utter confusion"	"I shame, disgrace, bring to shame, put to utter confusion, frustrate."
"2618"	"2876"	"katakai/w"	"I burn up, consume entirely"	"I burn up, consume entirely."
"2619"	"2877"	"katakalu/ptw"	"I veil, cover the head"	"I veil, cover the head."
"2620"	"1595,2878"	"katakauxa/omai"	"I boast against"	"I boast against, exult over."
"2621"	"2879"	"kata/keimai"	"I recline, am lying ill"	"I recline (at table); more often: I keep my bed, am lying ill (in bed)."
"2622"	"2880"	"katakla/w"	"I break in pieces"	"I break in pieces, break up."
"2623"	"1597,2881"	"kataklei/w"	"I shut up, confine"	"I shut up, confine."
"2624"	"2882,2883"	"kataklhronome/w"	"I give as an inheritance"	"I give as an inheritance, distribute by lot."
"2625"	"2884"	"katakli/nw"	"I recline, cause to recline"	"I cause to recline at table; mid. and pass: I recline at table."
"2626"	"2885"	"kataklu/zw"	"I flood over, overwhelm"	"I flood over, overwhelm, inundate."
"2627"	"2886"	"kataklusmo/s, ou=, o("	"a deluge, flood"	"a deluge, flood."
"2628"	"2887"	"katakolouqe/w"	"I follow after"	"I follow after."
"2629"	"2888"	"katako/ptw"	"I beat, wound"	"I cut up, cut in pieces, mangle, wound."
"2630"	"2889"	"katakrhmni/zw"	"I cast down headlong"	"I cast down headlong, throw over a precipice."
"2631"	"2890"	"kata/krima, atos, to/"	"punishment following condemnation"	"punishment following condemnation, penal servitude, penalty."
"2632"	"2891"	"katakri/nw"	"I condemn"	"I condemn, judge worthy of punishment."
"2633"	"2892"	"kata/krisis, ews, h("	"the act of condemnation"	"condemnation, censure."
"2634"	"2894"	"katakurieu/w"	"I exercise authority over, overpower"	"I exercise authority over, overpower, master."
"2635"	"2895"	"katalale/w"	"I speak evil of"	"I speak evil of, rail at, slander."
"2636"	"2896"	"katalalia/, as, h("	"evil-speaking, backbiting, detraction"	"evil-speaking, backbiting, detraction, slander."
"2637"	"2897"	"kata/lalos, on"	"slanderous, back-biting"	"slanderous, back-biting; subst: a railer, defamer."
"2638"	"2898"	"katalamba/nw"	"I seize tight hold of, overtake, comprehend"	"(a) I seize tight hold of, arrest, catch, capture, appropriate, (b) I overtake, (c) mid. aor: I perceived, comprehended."
"2639"	"2899"	"katale/gw"	"I enter in a list, register"	"I enter in a list, register, enroll."
"2640"	"2900,5698"	"kata/leimma, atos, to/"	"a remnant, small residue"	"a remnant, small residue."
"2641"	"2901"	"katalei/pw"	"I leave behind, abandon"	"I leave behind, desert, abandon, forsake; I leave remaining, reserve."
"2642"	"2902"	"kataliqa/zw"	"I stone down, stone to death"	"I stone down, stone to death, overwhelm with stones."
"2643"	"2903"	"katallagh/, h=s, h("	"reconciliation"	"reconciliation, restoration to favor."
"2644"	"2904"	"katalla/ssw"	"I reconcile"	"I change, exchange, reconcile."
"2645"	"2905"	"kata/loipos, on"	"left behind, the remainder"	"left behind; the rest, the remainder."
"2646"	"2906"	"kata/luma, atos, to/"	"an inn, lodging-place"	"an inn, lodging-place."
"2647"	"2907"	"katalu/w"	"I break up, overthrow, unharness, find a lodging"	"(lit: I loosen thoroughly), (a) trans: I break up, overthrow, destroy, both lit. and met., (b) I unyoke, unharness a carriage horse or pack animal; hence: I put up, lodge, find a lodging."
"2648"	"2908"	"katamanqa/nw"	"I understand, consider carefully"	"I understand, take in a fact about, consider carefully."
"2649"	"2909"	"katamarture/w"	"I give evidence against"	"I give evidence (bear witness) against."
"2650"	"2910"	"katame/nw"	"I wait, stay, remain, abide"	"I wait, stay (with), remain, abide, dwell."
"2651"	"2911"	"katamo/nas"	"alone, apart, in private"	"along, apart, in private."
"2652"	"2873,2912"	"kata/qema, atos, to/"	"a curse, an accursed thing"	"a curse, an accursed thing."
"2653"	"2874,2913"	"kataqemati/zw"	"I curse, devote to destruction"	"I curse, devote to destruction."
"2654"	"2914"	"katanali/skw"	"I consume utterly"	"I use up, spend, consume (as with fire)."
"2655"	"2915"	"katanarka/w"	"I burden, encumber"	"(properly a medical term: I stupefy, hence) I burden, encumber."
"2656"	"2916"	"kataneu/w"	"I nod, make a sign"	"I nod, make a sign, beckon."
"2657"	"2917"	"katanoe/w"	"I understand, perceive, consider"	"I take note of, perceive, consider carefully, discern, detect, make account of."
"2658"	"2918"	"katanta/w"	"I come down, arrive at, reach"	"(a) I come down, either from high land to lower (or actually to the sea-coast), or from the high seas to the coast; hence met: I arrive at, reach (my destination), (b) of property: I come down (descend) by inheritance to an heir."
"2659"	"2919"	"kata/nucis, ews, h("	"deep sleep, stupor"	"deep sleep, torpor, insensibility, stupor."
"2660"	"2920"	"katanu/ssomai"	"I am pierced, stung"	"met: I am pierced, stung, smitten."
"2661"	"2921"	"katacio/w"	"I deem worthy"	"I deem (count) worthy."
"2662"	"2922"	"katapate/w"	"I trample under foot"	"I trample down, trample under foot (lit. and met.), spurn."
"2663"	"2923"	"kata/pausis, ews, h("	"resting, rest"	"(in the Old Testament of the rest attained by the settlement in Canaan), resting, rest, dwelling, habitation."
"2664"	"2924"	"katapau/w"	"I rest, cause to rest"	"(a) trans: I cause to rest, bring to rest; I cause to refrain, (b) intrans: I rest."
"2665"	"2925"	"katape/tasma, atos, to/"	"a veil, curtain"	"(lit: that which is spread out downwards, that which hangs down), a curtain, veil, of that which separated the Holy of Holies from the outer parts of the temple at Jerusalem, also of an outer curtain at the entrance to the Holy Place in the same temple."
"2666"	"2927"	"katapi/nw"	"I swallow, devour, destroy"	"I drink down, swallow, devour, destroy, consume."
"2667"	"2928"	"katapi/ptw"	"I fall down"	"I fall down, fall prostrate."
"2668"	"2929"	"kataple/w"	"I sail down"	"I sail down (from the high seas to the shore)."
"2669"	"2930"	"katapone/w"	"I ill-treat"	"I exhaust by labor or suffering, wear out, overpower, oppress."
"2670"	"2931"	"kataponti/zw"	"I sink in the sea, am drowned"	"I sink in the sea, pass: I drown, am submerged."
"2671"	"2932"	"kata/ra, as, h("	"a curse, cursing"	"cursing; a curse; meton: a doomed one."
"2672"	"2933"	"katara/omai"	"I curse"	"I curse."
"2673"	"2934"	"katarge/w"	"I bring to naught, sever, abolish"	"(a) I make idle (inactive), make of no effect, annul, abolish, bring to naught, (b) I discharge, sever, separate from."
"2674"	"2935"	"katariqme/w"	"I number among"	"I number among, count with."
"2675"	"2936"	"katarti/zw"	"I fit together, prepare"	"(a) I fit (join) together; met: I compact together, (b) act. and mid: I prepare, perfect, for his (its) full destination or use, bring into its proper condition (whether for the first time, or after a lapse)."
"2676"	"2937"	"kata/rtisis, ews, h("	"a perfecting"	"a perfecting, making fit."
"2677"	"2938"	"katartismo/s, ou, o("	"a perfecting"	"a bringing to a condition of fitness, perfecting."
"2678"	"2939"	"katasei/w"	"I shake, wave, beckon"	"I shake (the hand) up and down, wave; intrans: I beckon for silence."
"2679"	"2940"	"kataska/ptw"	"I dig down under, demolish"	"I dig down under, demolish, undermine."
"2680"	"2941"	"kataskeua/zw"	"I build, prepare, make"	"I build, construct, prepare, make ready."
"2681"	"2942"	"kataskhno/w"	"I encamp, tabernacle, dwell"	"I encamp, take up my quarters, tabernacle, pitch my tent, dwell."
"2682"	"2943"	"kataskh/nwsis, ews, h("	"a dwelling-place"	"a dwelling-place."
"2683"	"2944"	"kataskia/zw"	"I overshadow"	"I overshadow."
"2684"	"2945"	"kataskope/w"	"I spy out, plot against"	"I view closely, inspect, spy out."
"2685"	"2946"	"kata/skopos, ou, o("	"a spy"	"a spy, scout."
"2686"	"2947"	"katasofi/zomai"	"I circumvent by trickery"	"I deal craftily with, outwit."
"2687"	"2948"	"kataste/llw"	"I appease, restrain"	"I let down, lower; I keep down, restrain, pacify."
"2688"	"2949"	"kata/sthma, atos, to/"	"behavior, conduct"	"behavior, conduct, deportment, demeanor."
"2689"	"2950"	"katastolh/, h=s, h("	"garb, dress, attire"	"garb, clothing, dress, attire."
"2690"	"2951"	"katastre/fw"	"I overturn, overthrow"	"I overturn, overthrow."
"2691"	"2952"	"katastrhnia/w"	"I grow wanton towards"	"I grow wanton towards."
"2692"	"2953"	"katastrofh/, h=s, h("	"overthrow, destruction"	"overthrow, destruction, material or spiritual."
"2693"	"2954"	"katastrw/nnumi"	"I scatter on the ground"	"I strew or spread over; I lay low, overthrow."
"2694"	"2955"	"katasu/rw"	"I drag down"	"I pull down, drag away."
"2695"	"2956,2957"	"katasfa/zw"	"I slaughter"	"I slaughter, kill off, slay."
"2696"	"2958"	"katasfragi/zw"	"I seal and thus close"	"I seal up, secure with a seal."
"2697"	"2959"	"kata/sxesis, ews, h("	"a possession"	"a possession, holding fast."
"2698"	"2960"	"katati/qhmi"	"I lay down, deposit"	"(a) I lay down, deposit, (b) mid: I lay down or deposit a favor, with the view of receiving one in return, seek favor."
"2699"	"2961"	"katatomh/, h=s, h("	"a mutilation, spoiling"	"a mutilation, spoiling."
"2701"	"2963"	"katatre/xw"	"I run down"	"I run down."
"2702"	"2965"	"katafe/rw"	"I bring down, oppress"	"I bear down, overpower; I give a vote or verdict, bring charges."
"2703"	"2966"	"katafeu/gw"	"I flee for refuge"	"I flee for refuge (implying that the refuge is reached); aor. indicates moment of arrival."
"2704"	"2967"	"katafqei/rw"	"I destroy, corrupt"	"I destroy, corrupt."
"2705"	"2968"	"katafile/w"	"I kiss affectionately"	"I kiss affectionately."
"2706"	"2969"	"katafrone/w"	"I despise, scorn"	"I despise, scorn, and show it by active insult, disregard."
"2707"	"2970"	"katafronhth/s, ou=, o("	"a despiser"	"a despiser, scorner."
"2708"	"2972"	"kataxe/w"	"I pour over"	"I pour (down) upon."
"2709"	"2973"	"kataxqo/nios, on"	"under the earth, subterranean"	"under the earth, subterranean, infernal."
"2710"	"2974,4201"	"kataxra/omai"	"I use up"	"I use to the full, use up."
"2711"	"2976"	"katayu/xw"	"I cool, refresh"	"I cool, refresh."
"2712"	"2977"	"katei/dwlos, on"	"full of images of idols"	"full of images of idols, grossly idolatrous."
"2713"	"2978"	"kate/nanti"	"opposite, in front of"	"opposite, in front (of), over against."
"2714"	"2979"	"katenw/pion"	"before the face of"	"before the face of, over against."
"2715"	"2980"	"katecousia/zw"	"I have power over"	"I have (exercise) power (authority) over."
"2716"	"2981"	"katerga/zomai"	"I work out, produce, accomplish"	"I effect by labor, achieve, work out, bring about."
"2718"	"2982"	"kate/rxomai"	"I come down"	"I come down from sky to earth, or from high land to lower land (or to the coast), or from the high seas to the shore."
"2719"	"2983,2984"	"katesqi/w"	"I eat till it is finished"	"I eat up, eat till it is finished, devour, squander, annoy, injure."
"2720"	"2985"	"kateuqu/nw"	"I make straight, direct"	"(a) I make straight, (b) met: I put in the right way, direct."
"2721"	"2987"	"katefi/sthmi"	"I rush, assault"	"I rush, assault, rise up against."
"2722"	"2988"	"kate/xw"	"I hold fast, bind, restrain"	"(a) I hold fast, bind, arrest, (b) I take possession of, lay hold of, (c) I hold back, detain, restrain, (d) I hold a ship, keep its head."
"2723"	"2989"	"kathgore/w"	"I accuse, charge, prosecute"	"I accuse, charge, prosecute."
"2724"	"2990"	"kathgori/a, as, h("	"a charge, accusation"	"an accusation, charge."
"2725"	"2991,2992"	"kath/goros, ou, o("	"a prosecutor, accuser"	"an accuser, prosecutor."
"2726"	"2993"	"kath/feia, as, h("	"a downcast countenance, gloom, dejection"	"a downcast countenance as a sign of sorrow, gloominess, gloom, dejection."
"2727"	"2994"	"kathxe/w"	"I instruct orally"	"I instruct orally, teach, inform."
"2728"	"2995"	"katio/w"	"I rust"	"I rust; pass: I am rusted, tarnished."
"2729"	"2996"	"katisxu/w"	"I prevail against, overpower, am able"	"I prevail against, overpower, get the upper hand."
"2730"	"2997,3001"	"katoike/w"	"I dwell in, settle in, inhabit"	"I dwell in, settle in, am established in (permanently), inhabit."
"2731"	"2998"	"katoi/khsis, ews, h("	"dwelling, abode, habitation"	"a dwelling, abode, habitation."
"2732"	"2999"	"katoikhth/rion, ou, to/"	"a habitation, dwelling-place"	"a habitation, dwelling-place, abode."
"2733"	"3000"	"katoiki/a, as, h("	"a dwelling, habitation"	"a dwelling, habitation, settlement."
"2734"	"3002"	"katoptri/zomai"	"I mirror, reflect"	"I mirror, reflect."
"2735"	"1480,3003"	"kato/rqwma, atos, to/"	"anything happily and successfully accomplished"	"anything happily and successfully accomplished, a beneficial and worthy deed."
"2736"	"3004,3006"	"ka/tw"	"down, below, lower, under, less"	"(a) down, below, also: downwards, (b) lower, under, less, of a length of time."
"2737"	"3005"	"katw/teros, a, on"	"lower"	"lower."
"2738"	"3008"	"kau=ma, atos, to/"	"burning heat, heat"	"burning heat, heat."
"2739"	"3009,3010"	"kaumati/zw"	"I burn, scorch"	"I burn, scorch."
"2740"	"3011"	"kau=sis, ews, h("	"a burning up"	"a burning up, being burned."
"2741"	"3012"	"kauso/w"	"I burn up"	"I burn with great heat."
"2742"	"3014"	"kau/swn, w=nos, o("	"a scorching heat, hot wind"	"a scorching heat, hot wind."
"2743"	"3013,3015"	"kauthria/zw"	"I cauterize, sear"	"I cauterize, burn with a hot iron; hence met: I sear."
"2744"	"3016"	"kauxa/omai"	"I boast, glory"	"I boast; I glory (exult) proudly."
"2745"	"3017"	"kau/xhma, atos, to/"	"a boasting"	"a boasting; a ground of boasting (glorying, exultation)."
"2746"	"3018"	"kau/xhsis, ews, h("	"the act of boasting, exultation"	"the act of boasting, glorying, exultation."
"2747"	"3020"	"*kegxreai/, as, h("	"Cenchreae"	"Cenchreae, the port of Corinth on the Saronic Gulf."
